endDate,value
2015-06-08,8.814642394
2015-06-09,2.7190952069999996
2015-06-10,7.448924211
2015-06-11,6.83302849
2015-06-12,2.669583902
2015-06-13,4.021468104999999
2015-06-14,1.0348708050000002
2015-06-15,12.399157871999998
2015-06-16,2.189881039
2015-06-17,2.2787806970000006
2015-06-18,4.52825919
2015-06-19,3.237901728
2015-06-20,3.5177938080000004
2015-06-21,0.84492663
2015-06-22,3.4360413370000007
2015-06-23,3.058981887
2015-06-24,10.95423427
2015-06-25,3.0668874490000007
2015-06-26,5.091343932
2015-06-27,1.1403334729999997
2015-06-28,0.14865065
2015-06-29,3.454942447000001
2015-06-30,3.0533790230000006
2015-07-01,11.679220397
2015-07-02,4.999385948000002
2015-07-03,5.0382187220000025
2015-07-04,3.4904695629999996
